Full name:,Date of birth:,Place of birth:,Age:,Height:,Citizenship:,Position:,Foot:,Player agent:,                            Current club:                        ,Joined:,Contract expires:,Date of last contract extension:,Outfitter:,Social-Media:,Market Value,Name in home country:,Contract option:,On loan from:,Contract there expires:,2nd club:,3nd club:
Ederson,"Aug 17, 1993 ",Osasco (SP)   ,29,"1,88 m",  Brazil  Portugal                            ,                            Goalkeeper                        ,left,Gestifute ,Manchester City ,"                                Jul 1, 2017                            ","Jun 30, 2026","Sep 1, 2021",Puma,"['http://twitter.com/edersonmoraes93', 'http://www.facebook.com/Ederson93/', 'http://instagram.com/ederson93/']",                $49.50m                ,,,,,,
Stefan Ortega,"Nov 6, 1992 ",Hofgeismar   ,29,"1,85 m",  Germany  Spain                            ,                            Goalkeeper                        ,right,neblung sportsnetwork ,Manchester City ,"                                Jul 1, 2022                            ","Jun 30, 2025",,,['http://instagram.com/stefan.ortega1/'],                $6.60m                ,Stefan Ortega Moreno,,,,,
Scott Carson,"Sep 3, 1985 ",Whitehaven   ,36,"1,88 m",  England                            ,                            Goalkeeper                        ,right,Wasserman ,Manchester City ,"                                Jul 20, 2021                            ","Jun 30, 2023","Jun 14, 2022",Puma,"['http://twitter.com/SCarsonOfficial', 'http://www.instagram.com/scottpcarson33/']",                $330Th.                ,Scott Paul Carson,,,,,
Ruben Dias,"May 14, 1997 ",Amadora   ,25,"1,87 m",  Portugal                            ,                            Defender - Centre-Back                        ,right,Gestifute ,Manchester City ,"                                Sep 29, 2020                            ","Jun 30, 2027","Aug 30, 2021",Nike,"['http://twitter.com/rubendias', 'http://www.facebook.com/RubenDias66/', 'http://www.instagram.com/rubendias/']",                $82.50m                ,Rúben Santos Gato Alves Dias,,,,,
Aymeric Laporte,"May 27, 1994 ",Agen   ,28,"1,89 m",  Spain  France                            ,                            Defender - Centre-Back                        ,left,Wasserman ,Manchester City ,"                                Jan 30, 2018                            ","Jun 30, 2025","Feb 22, 2019",adidas,"['http://twitter.com/Laporte', 'http://www.facebook.com/laporteaymeric', 'http://www.instagram.com/laporte/']",                $49.50m                ,Aymeric Jean Louis Gerard Alphonse Laporte,,,,,
John Stones,"May 28, 1994 ",Barnsley   ,28,"1,88 m",  England                            ,                            Defender - Centre-Back                        ,right,Wasserman ,Manchester City ,"                                Aug 9, 2016                            ","Jun 30, 2026","Aug 10, 2021",Nike,['http://www.instagram.com/johnstonesofficial/?hl=it'],                $30.80m                ,,,,,,
Nathan Ake,"Feb 18, 1995 ",Den Haag   ,27,"1,80 m",  Netherlands  Cote d'Ivoire                            ,                            Defender - Centre-Back                        ,left,Wasserman ,Manchester City ,"                                Aug 5, 2020                            ","Jun 30, 2025",,Nike,"['http://twitter.com/NathanAke', 'http://www.facebook.com/nathan.ake', 'http://www.instagram.com/nathanake/']",                $27.50m                ,Nathan Benjamin Aké,,,,,
Sergio Gomez,"Sep 4, 2000 ",Badalona   ,21,"1,71 m",  Spain                            ,                            Defender - Left-Back                        ,left,SEG ,Manchester City ,"                                Aug 16, 2022                            ","Jun 30, 2026",,,"['http://twitter.com/sergiogm_10', 'http://www.instagram.com/sergiogm_10/']",                $11.00m                ,Sergio Gómez Martín,,,,,
Benjamin Mendy,"Jul 17, 1994 ",Longjumeau   ,28,"1,85 m",  France  Senegal                            ,                            Defender - Left-Back                        ,left,Sport Cover ,Manchester City ,"                                Jul 24, 2017                            ","Jun 30, 2023",,adidas,['http://twitter.com/benmendy23'],                -                ,,,,,,
Joao Cancelo,"May 27, 1994 ",Barreiro   ,28,"1,82 m",  Portugal                            ,                            Defender - Right-Back                        ,right,Gestifute ,Manchester City ,"                                Aug 7, 2019                            ","Jun 30, 2027","Feb 1, 2022",Nike,"['http://www.facebook.com/cancelooficial/?ref=br_rs', 'http://www.instagram.com/jpcancelo/']",                $71.50m                ,João Pedro Cavaco Cancelo,,,,,
